Model,Context Size,Memory Used (MB),Inference Time (ms)
ISANP(128),10,534.0,151.41319821675617
ISANP(128),150,522.0,158.64965807596843
ISANP(128),500,482.0,152.94696407318116
ISANP(128),1000,502.0,160.38950322469074
ISANP(128),1500,556.0,153.99809964497885
ISANP(128),2000,392.0,158.5378107070923
ISANP(128),2500,534.0,155.99791577657064
ISANP(128),3000,298.0,157.03499399820964
