Model,Context Size,Memory Used (MB),Inference Time (ms)
ISANP(64),10,422.0,171.50591519673665
ISANP(64),150,406.0,147.47096583048503
ISANP(64),500,406.0,169.06713542938232
ISANP(64),1000,412.0,161.36607011159262
ISANP(64),1500,318.0,166.44964828491212
ISANP(64),2000,464.0,153.45155010223388
ISANP(64),2500,336.0,174.03021767934163
ISANP(64),3000,166.0,154.47088476816813
