Model,Context Size,Memory Used (MB),Inference Time (ms)
LBANP(128),10,574.0,153.68207092285155
LBANP(128),150,534.0,157.54919865926107
LBANP(128),500,536.0,161.36174570719402
LBANP(128),1000,522.0,155.4195477803548
LBANP(128),1500,574.0,149.94964383443195
LBANP(128),2000,504.0,165.34232234954834
LBANP(128),2500,524.0,159.0087283452352
LBANP(128),3000,410.0,157.83544928232828
