Model,Context Size,Memory Used (MB),Inference Time (ms)
LBANP(64),10,424.0,157.9820328394572
LBANP(64),150,420.0,177.0189676920573
LBANP(64),500,426.0,169.5265651067098
LBANP(64),1000,422.0,170.00148474375408
LBANP(64),1500,438.0,167.06297613779705
LBANP(64),2000,462.0,168.48267434438068
LBANP(64),2500,382.0,161.85318959554036
LBANP(64),3000,378.0,170.10079886118572
