Model,Context Size,Memory Used (MB),Inference Time (ms)
ISANPv2(8),10,342.0,160.81295948028566
ISANPv2(8),150,566.0,156.86268374125163
ISANPv2(8),500,1240.0,177.78914324442545
ISANPv2(8),1000,2216.0,190.96856473286945
ISANPv2(8),1500,2948.0,206.10038528442382
ISANPv2(8),2000,3922.0,239.8805783589681
ISANPv2(8),2500,4940.0,263.58096237182616
ISANPv2(8),3000,5812.0,410.3565414428711
