Model,Context Size,Memory Used (MB),Inference Time (ms)
ISANPv2(128),10,358.0,156.880468304952
ISANPv2(128),150,570.0,165.98876978556316
ISANPv2(128),500,1240.0,180.12674293518066
ISANPv2(128),1000,2216.0,188.62467765808105
ISANPv2(128),1500,2946.0,194.8294485727946
ISANPv2(128),2000,3922.0,240.06548843383788
ISANPv2(128),2500,4898.0,277.77258516947427
ISANPv2(128),3000,4726.0,2800.81416015625
