Model,Context Size,Memory Used (MB),Inference Time (ms)
ISANP(8),10,332.0,164.1352036158244
ISANP(8),150,326.0,161.2497755050659
ISANP(8),500,322.0,161.78489157358806
ISANP(8),1000,308.0,161.49600505828857
ISANP(8),1500,338.0,165.72096633911133
ISANP(8),2000,308.0,155.28194751739503
ISANP(8),2500,318.0,161.06763197580975
ISANP(8),3000,120.0,164.96772117614745
