Model,Context Size,Memory Used (MB),Inference Time (ms)
LBANP(8),10,330.0,159.95451463063557
LBANP(8),150,330.0,169.28332144419352
LBANP(8),500,326.0,163.84952074686686
LBANP(8),1000,322.0,167.78959420522054
LBANP(8),1500,312.0,161.8687391281128
LBANP(8),2000,326.0,159.87983468373616
LBANP(8),2500,266.0,163.87857844034832
LBANP(8),3000,238.0,162.73125489552817
